POSCAR_FILE, formular, ion_conv, ele_conv, final_energy, out_dir
./str/POSCAR_S_1qb3wmlw.vasp, Ti2 V1 Cu1, True, True, -27.66674894 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_XMJSMZ
./str/POSCAR_S_jon48vpp.vasp, Ti3 V2 Cu1, True, True, -44.64892041 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_MVI35K
./str/POSCAR_S_ryn9xxqe.vasp, Ti1 V2 Cu1, True, True, -28.95990165 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_6M90RC
./str/POSCAR_S_3q17uv2n.vasp, Ti4 V1 Cu1, False, True, -43.33214546 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_F3PSGJ
./str/POSCAR_S_9pplgcou.vasp, Ti1 V3 Cu2, False, True, -41.0532128 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_KSJDE8
./str/POSCAR_S_9ujxbfks.vasp, Ti2 V2 Cu1, True, True, -36.37450493 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_IWK2ZJ
./str/POSCAR_S_vrnu_fxx.vasp, Ti2 V2 Cu2, True, True, -39.50182973 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_4ATSQT
./str/POSCAR_S_oys_ir6j.vasp, Ti3 V1 Cu2, True, True, -39.16929242 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_BY1Y44
./str/POSCAR_S_wdcdagu1.vasp, Ti3 V1 Cu2, True, True, -39.05846072 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_8NWGNQ
./str/POSCAR_S_27c9nz4d.vasp, Ti1 V3 Cu2, False, True, -41.35394186 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_Q9I9QG
./str/POSCAR_S_80d6dd1x.vasp, Ti3 V2 Cu1, True, True, -44.41516068 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_11BIBF
./str/POSCAR_S_2en2pssd.vasp, Ti1 V1 Cu2, True, True, -23.54368377 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_53O3KG
