,formula,ionConv,eleConv,fenergy(ev),nofsA,nofsB,nofsC,H,H_per,ratioA,ratioB,ratioC
0,Ti2 V1 Cu1,TRUE,TRUE,-27.66674894 eV,2,1,1,0.2922302999999995,0.07305757499999987,0.5,0.25,0.25
1,Ti3 V2 Cu1,TRUE,TRUE,-44.64892041 eV,3,2,1,-0.05422876000000132,-0.009038126666666887,0.5,0.3333,0.1667
2,Ti1 V2 Cu1,TRUE,TRUE,-28.95990165 eV,1,2,1,0.25857268000000344,0.06464317000000086,0.25,0.5,0.25
3,Ti4 V1 Cu1,FALSE,TRUE,-43.33214546 eV,4,1,1,0.0030511000000017496,0.0005085166666669583,0.6667,0.1667,0.1667
4,Ti1 V3 Cu2,FALSE,TRUE,-41.0532128 eV,1,3,2,0.7480234500000043,0.12467057500000071,0.1667,0.5,0.3333
5,Ti2 V2 Cu1,TRUE,TRUE,-36.37450493 eV,2,2,1,0.532078060000003,0.1064156120000006,0.4,0.4,0.2
6,Ti2 V2 Cu2,TRUE,TRUE,-39.50182973 eV,2,2,2,1.0399114300000063,0.17331857166666773,0.3333,0.3333,0.3333
7,Ti3 V1 Cu2,TRUE,TRUE,-39.16929242 eV,3,1,2,0.11295365000000235,0.018825608333333726,0.5,0.1667,0.3333
8,Ti3 V1 Cu2,TRUE,TRUE,-39.05846072 eV,3,1,2,0.22378535000000088,0.03729755833333348,0.5,0.1667,0.3333
9,Ti1 V3 Cu2,FALSE,TRUE,-41.35394186 eV,1,3,2,0.4472943900000024,0.0745490650000004,0.1667,0.5,0.3333
10,Ti3 V2 Cu1,TRUE,TRUE,-44.41516068 eV,3,2,1,0.1795309700000014,0.029921828333333567,0.5,0.3333,0.1667
11,Ti1 V1 Cu2,TRUE,TRUE,-23.54368377 eV,1,1,2,0.3623449800000005,0.09058624500000012,0.25,0.25,0.5
12,Ti1 V1 Cu4,TRUE,TRUE,-30.42816232 eV,1,1,4,0.7481827700000032,0.12469712833333386,0.1667,0.1667,0.6667
13,Ti2 V1 Cu3,FALSE,TRUE,-34.94619527 eV,2,1,3,0.28310031000000535,0.04718338500000089,0.3333,0.1667,0.5
14,Ti1 V2 Cu2,TRUE,TRUE,-32.67142493 eV,1,2,2,0.18220757000000187,0.036441514000000376,0.2,0.4,0.4
15,Ti2 V2 Cu2,TRUE,TRUE,-40.41044502 eV,2,2,2,0.1312961400000061,0.02188269000000102,0.3333,0.3333,0.3333
16,Ti3 V2 Cu1,TRUE,TRUE,-44.53838244 eV,3,2,1,0.05630921000000155,0.009384868333333593,0.5,0.3333,0.1667
17,Ti2 V2 Cu2,FALSE,TRUE,-40.57244861 eV,2,2,2,-0.030707449999998637,-0.005117908333333106,0.3333,0.3333,0.3333
18,Ti3 V2 Cu1,TRUE,TRUE,-44.14306997 eV,3,2,1,0.4516216800000019,0.07527028000000031,0.5,0.3333,0.1667
19,Ti2 V2 Cu2,TRUE,TRUE,-40.53636577 eV,2,2,2,0.005375390000000202,0.000895898333333367,0.3333,0.3333,0.3333
20,Ti1 V1 Cu4,FALSE,TRUE,-30.96573501 eV,1,1,4,0.21061008000000214,0.03510168000000036,0.1667,0.1667,0.6667
21,Ti1 V2 Cu3,TRUE,TRUE,-35.97971281 eV,1,2,3,0.5090778599999997,0.08484630999999994,0.1667,0.3333,0.5
22,Ti2 V1 Cu2,TRUE,TRUE,-31.1235825 eV,2,1,2,0.4705549099999997,0.09411098199999994,0.4,0.2,0.4
23,Ti1 V1 Cu4,FALSE,TRUE,-30.93514484 eV,1,1,4,0.24120025000000211,0.04020004166666702,0.1667,0.1667,0.6667
24,Ti1 V2 Cu3,FALSE,TRUE,-36.16398565 eV,1,2,3,0.3248050200000012,0.054134170000000204,0.1667,0.3333,0.5
25,Ti3 V2 Cu1,TRUE,TRUE,-44.60698606 eV,3,2,1,-0.012294409999995981,-0.0020490683333326634,0.5,0.3333,0.1667
26,Ti1 V2 Cu3,TRUE,TRUE,-36.68049637 eV,1,2,3,-0.1917056999999982,-0.0319509499999997,0.1667,0.3333,0.5
27,Ti1 V1 Cu1,TRUE,TRUE,-20.12081199 eV,1,1,1,0.15005859000000177,0.05001953000000059,0.3333,0.3333,0.3333
28,Ti2 V3 Cu1,TRUE,TRUE,-46.02884808 eV,2,3,1,-0.174661339999997,-0.029110223333332835,0.3333,0.5,0.1667
29,Ti2 V1 Cu3,FALSE,TRUE,-34.89495762 eV,2,1,3,0.3343379600000027,0.05572299333333378,0.3333,0.1667,0.5
30,Ti2 V3 Cu1,TRUE,TRUE,-45.81856115 eV,2,3,1,0.035625590000005314,0.005937598333334219,0.3333,0.5,0.1667
31,Ti2 V1 Cu3,TRUE,TRUE,-34.89271302 eV,2,1,3,0.3365825600000001,0.05609709333333335,0.3333,0.1667,0.5
32,Ti2 V2 Cu2,FALSE,TRUE,-40.32367252 eV,2,2,2,0.21806864000000115,0.036344773333333524,0.3333,0.3333,0.3333
33,Ti1 V3 Cu2,TRUE,TRUE,-41.80927305 eV,1,3,2,-0.008036800000000177,-0.0013394666666666961,0.1667,0.5,0.3333
34,Ti2 V2 Cu2,TRUE,TRUE,-39.85225354 eV,2,2,2,0.689487620000004,0.11491460333333399,0.3333,0.3333,0.3333
35,Ti2 V3 Cu1,TRUE,TRUE,-45.92149703 eV,2,3,1,-0.06731028999999156,-0.011218381666665259,0.3333,0.5,0.1667
36,Ti1 V3 Cu2,TRUE,TRUE,-41.52792205 eV,1,3,2,0.2733142000000006,0.04555236666666677,0.1667,0.5,0.3333
37,Ti2 V2 Cu2,TRUE,TRUE,-40.07154951 eV,2,2,2,0.4701916500000065,0.07836527500000108,0.3333,0.3333,0.3333
